indicator_code,disease_name,country_code,spatial_dim_type,year,numeric_value,low,high
TB_e_mort_exc_tbhiv_num,Tuberculosis,SVK,COUNTRY,2007,35.0,35.0,36.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,OMN,COUNTRY,2002,18.0,14.0,22.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NZL,COUNTRY,2005,21.0,21.0,21.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBY,COUNTRY,2009,610.0,300.0,1000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KWT,COUNTRY,2015,18.0,16.0,19.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MDG,COUNTRY,2020,12000.0,8500.0,16000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ECU,COUNTRY,2024,730.0,570.0,910.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_LI,WORLDBANKINCOMEGROUP,2007,231000.0,168000.0,304000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,COG,COUNTRY,2009,2400.0,1600.0,3400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ECU,COUNTRY,2006,1100.0,880.0,1300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BDI,COUNTRY,2000,1700.0,930.0,2800.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SLE,COUNTRY,2002,9700.0,4100.0,18000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHN,COUNTRY,2010,52000.0,47000.0,58000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MDG,COUNTRY,2000,8200.0,5700.0,11000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,HKG,COUNTRY,2018,170.0,170.0,180.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,FSM,COUNTRY,2023,110.0,74.0,150.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GNB,COUNTRY,2012,570.0,390.0,770.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NIC,COUNTRY,2006,180.0,170.0,200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NLD,COUNTRY,2011,37.0,37.0,38.0
