indicator_code,country_code,spatial_dim_type,year,sex_code,cause_code,numeric_value,low,high
SDG_SH_DTH_RNCOM,AGO,COUNTRY,2002,SEX_MLE,GHECAUSES_GHE117,2150.352,1169.92,3600.217
SDG_SH_DTH_RNCOM,EUR,REGION,2016,SEX_FMLE,GHECAUSES_GHE061,932038.9,760645.9,1099458.0
SDG_SH_DTH_RNCOM,FSM,COUNTRY,2006,SEX_FMLE,GHECAUSES_GHE080,59.33759,36.85536,87.76109
SDG_SH_DTH_RNCOM,MUS,COUNTRY,2002,SEX_FMLE,GHECAUSES_GHE080,850.8459,672.8546,1048.305
SDG_SH_DTH_RNCOM,SLE,COUNTRY,2003,SEX_FMLE,GHECAUSES_GHE110,3688.621,2136.046,5752.293
SDG_SH_DTH_RNCOM,PER,COUNTRY,2015,SEX_MLE,GHECAUSES_GHE061,15352.78,10576.97,21330.03
SDG_SH_DTH_RNCOM,ZMB,COUNTRY,2007,SEX_FMLE,GHECAUSES_GHE061,3010.042,1820.926,4636.613
SDG_SH_DTH_RNCOM,TKM,COUNTRY,2010,SEX_MLE,GHECAUSES_GHE061,1741.387,1306.021,2259.27
SDG_SH_DTH_RNCOM,CYP,COUNTRY,2017,SEX_MLE,GHECAUSES_GHE110,1128.046,869.5084,1445.477
SDG_SH_DTH_RNCOM,LKA,COUNTRY,2001,SEX_FMLE,GHECAUSES_GHE080,1965.529,1476.042,2477.715
SDG_SH_DTH_RNCOM,GRD,COUNTRY,2010,SEX_BTSX,GHECAUSES_GHE110,358.621,285.8245,441.9218
SDG_SH_DTH_RNCOM,MNG,COUNTRY,2014,SEX_FMLE,GHECAUSES_GHE117,177.5432,100.1964,298.0738
SDG_SH_DTH_RNCOM,JAM,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE117,520.0735,422.1536,630.6406
SDG_SH_DTH_RNCOM,DZA,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE110,64563.67,44112.65,89078.01
SDG_SH_DTH_RNCOM,DOM,COUNTRY,2010,SEX_BTSX,GHECAUSES_GHE117,1300.086,848.3014,1857.03
SDG_SH_DTH_RNCOM,BFA,COUNTRY,2019,SEX_MLE,GHECAUSES_GHE061,3513.233,2032.526,5577.406
SDG_SH_DTH_RNCOM,NLD,COUNTRY,2013,SEX_MLE,GHECAUSES_GHE117,5858.211,4771.772,6954.9
SDG_SH_DTH_RNCOM,TJK,COUNTRY,2018,SEX_FMLE,GHECAUSES_GHE080,865.7229,512.681,1222.891
SDG_SH_DTH_RNCOM,AUT,COUNTRY,2007,SEX_MLE,GHECAUSES_GHE110,13415.38,11274.04,15528.2
SDG_SH_DTH_RNCOM,TUR,COUNTRY,2014,SEX_FMLE,GHECAUSES_GHE080,13212.39,10300.54,16622.6
SDG_SH_DTH_RNCOM,PNG,COUNTRY,2014,SEX_MLE,GHECAUSES_GHE110,7609.393,4203.395,12718.7
SDG_SH_DTH_RNCOM,PAK,COUNTRY,2019,SEX_BTSX,GHECAUSES_GHE061,124327.5,80323.65,184884.9
SDG_SH_DTH_RNCOM,MYS,COUNTRY,2019,SEX_BTSX,GHECAUSES_GHE110,63586.66,43768.73,88371.88
SDG_SH_DTH_RNCOM,CMR,COUNTRY,2004,SEX_BTSX,GHECAUSES_GHE117,4255.596,2301.768,6967.016
SDG_SH_DTH_RNCOM,WB_UMI,WORLDBANKINCOMEGROUP,2002,SEX_FMLE,GHECAUSES_GHE117,781616.4,567290.9,918846.2
SDG_SH_DTH_RNCOM,VUT,COUNTRY,2009,SEX_FMLE,GHECAUSES_GHE117,53.50923,25.83396,103.6346
SDG_SH_DTH_RNCOM,MDG,COUNTRY,2004,SEX_BTSX,GHECAUSES_GHE061,8205.828,4870.333,13038.72
SDG_SH_DTH_RNCOM,MDV,COUNTRY,2015,SEX_BTSX,GHECAUSES_GHE110,454.5962,330.8018,601.3685
SDG_SH_DTH_RNCOM,KEN,COUNTRY,2019,SEX_BTSX,GHECAUSES_GHE061,33027.78,22563.78,48364.52
SDG_SH_DTH_RNCOM,MOZ,COUNTRY,2019,SEX_BTSX,GHECAUSES_GHE080,7976.8,4679.843,12726.65
SDG_SH_DTH_RNCOM,MWI,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE080,1706.272,1093.042,2537.934
SDG_SH_DTH_RNCOM,AFR,REGION,2001,SEX_MLE,GHECAUSES_GHE110,425737.7,271084.6,649043.3
SDG_SH_DTH_RNCOM,ITA,COUNTRY,2008,SEX_MLE,GHECAUSES_GHE080,8506.483,7386.026,9664.162
SDG_SH_DTH_RNCOM,GBR,COUNTRY,2005,SEX_BTSX,GHECAUSES_GHE061,155781.6,140285.0,168210.2
SDG_SH_DTH_RNCOM,TGO,COUNTRY,2004,SEX_BTSX,GHECAUSES_GHE061,2090.298,1261.531,3270.193
SDG_SH_DTH_RNCOM,LVA,COUNTRY,2018,SEX_BTSX,GHECAUSES_GHE110,16770.11,12667.93,20988.04
SDG_SH_DTH_RNCOM,BRN,COUNTRY,2008,SEX_FMLE,GHECAUSES_GHE117,46.14415,28.79206,66.51469
SDG_SH_DTH_RNCOM,IRN,COUNTRY,2017,SEX_BTSX,GHECAUSES_GHE117,15181.22,12026.75,17697.68
SDG_SH_DTH_RNCOM,GRC,COUNTRY,2008,SEX_MLE,GHECAUSES_GHE117,5153.029,4268.727,6053.781
SDG_SH_DTH_RNCOM,AFR,REGION,2014,SEX_BTSX,GHECAUSES_GHE117,177958.2,99566.02,296775.7
SDG_SH_DTH_RNCOM,CHL,COUNTRY,2003,SEX_FMLE,GHECAUSES_GHE117,2295.791,1246.797,3017.755
SDG_SH_DTH_RNCOM,POL,COUNTRY,2017,SEX_MLE,GHECAUSES_GHE061,61169.74,50369.21,71171.08
SDG_SH_DTH_RNCOM,BIH,COUNTRY,2017,SEX_BTSX,GHECAUSES_GHE110,18939.65,14621.08,24298.1
SDG_SH_DTH_RNCOM,HUN,COUNTRY,2010,SEX_FMLE,GHECAUSES_GHE117,2320.583,1795.979,3075.199
SDG_SH_DTH_RNCOM,IRQ,COUNTRY,2003,SEX_MLE,GHECAUSES_GHE080,3002.576,1782.469,4759.691
SDG_SH_DTH_RNCOM,EGY,COUNTRY,2018,SEX_BTSX,GHECAUSES_GHE061,83709.98,46205.98,140821.0
SDG_SH_DTH_RNCOM,BIH,COUNTRY,2005,SEX_FMLE,GHECAUSES_GHE110,9964.131,7750.321,12559.05
SDG_SH_DTH_RNCOM,MDG,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE061,8949.115,5286.876,14291.29
SDG_SH_DTH_RNCOM,BRN,COUNTRY,2016,SEX_BTSX,GHECAUSES_GHE110,515.7833,382.8384,680.3469
SDG_SH_DTH_RNCOM,AMR,REGION,2001,SEX_MLE,GHECAUSES_GHE080,101168.2,84748.31,119604.5
SDG_SH_DTH_RNCOM,SWE,COUNTRY,2018,SEX_FMLE,GHECAUSES_GHE080,1052.979,757.9796,1385.705
SDG_SH_DTH_RNCOM,FSM,COUNTRY,2011,SEX_MLE,GHECAUSES_GHE110,172.9372,104.9778,259.3416
