indicator_code,country_code,spatial_dim_type,year,sex_code,numeric_value,low,high
WHOSIS_000001,AUT,COUNTRY,2011,SEX_FMLE,83.2818469,83.26971061,83.36298398
WHOSIS_000001,MYS,COUNTRY,2021,SEX_MLE,70.63625944,70.42616927,70.901531
WHOSIS_000001,GHA,COUNTRY,2010,SEX_FMLE,64.28330038,63.72574987,64.99191359
WHOSIS_000001,PRT,COUNTRY,2005,SEX_FMLE,81.2138435,81.19098838,81.30281185
WHOSIS_000001,PER,COUNTRY,2007,SEX_FMLE,80.30924599,79.93545576,80.77822168
WHOSIS_000001,CHL,COUNTRY,2019,SEX_MLE,78.66286141,78.64193941,78.75754142
WHOSIS_000001,THA,COUNTRY,2020,SEX_BTSX,76.50524949,75.90277247,77.30732474
WHOSIS_000001,MAR,COUNTRY,2002,SEX_FMLE,71.41568272,70.73116379,72.24036846
WHOSIS_000001,SLB,COUNTRY,2015,SEX_MLE,62.85393319,61.90965334,63.76768717
WHOSIS_000001,PAK,COUNTRY,2000,SEX_MLE,60.97632896,60.19298165,61.85671848
WHOSIS_000001,SOM,COUNTRY,2000,SEX_FMLE,51.57348696,50.56128034,52.64142461
WHOSIS_000001,SVK,COUNTRY,2015,SEX_FMLE,80.01781693,79.97967174,80.1476424
WHOSIS_000001,GEO,COUNTRY,2003,SEX_FMLE,74.19297045,73.99405386,74.465089
WHOSIS_000001,TKM,COUNTRY,2007,SEX_MLE,62.29977817,61.94116196,62.72824995
WHOSIS_000001,LKA,COUNTRY,2008,SEX_BTSX,73.1378661,73.07973956,73.25069008
WHOSIS_000001,CHL,COUNTRY,2006,SEX_MLE,75.71148795,75.68573092,75.79435491
WHOSIS_000001,MDG,COUNTRY,2015,SEX_MLE,62.32660335,61.41082504,63.39270096
WHOSIS_000001,UKR,COUNTRY,2018,SEX_BTSX,72.71826067,72.15176681,73.40615501
WHOSIS_000001,MAR,COUNTRY,2012,SEX_FMLE,73.51043095,72.89324099,74.19531947
WHOSIS_000001,MRT,COUNTRY,2010,SEX_BTSX,68.45329118,67.85159679,69.19932458
WHOSIS_000001,VEN,COUNTRY,2009,SEX_FMLE,79.04311979,78.98890999,79.14989329
WHOSIS_000001,JAM,COUNTRY,2001,SEX_MLE,69.93620994,69.66156541,70.2739647
WHOSIS_000001,KIR,COUNTRY,2014,SEX_FMLE,64.81259393,63.93629115,65.6474638
WHOSIS_000001,TGO,COUNTRY,2004,SEX_FMLE,58.72900791,57.7413147,59.59281667
WHOSIS_000001,VUT,COUNTRY,2000,SEX_MLE,62.03202708,61.34643324,62.86744479
WHOSIS_000001,SWZ,COUNTRY,2007,SEX_FMLE,45.08337273,43.80903093,46.91804304
WHOSIS_000001,GHA,COUNTRY,2010,SEX_BTSX,61.9748058,61.30120609,62.57851123
WHOSIS_000001,TGO,COUNTRY,2011,SEX_BTSX,59.7945853,58.912717,60.65533386
WHOSIS_000001,JOR,COUNTRY,2018,SEX_MLE,79.67533655,79.12312613,80.25654011
WHOSIS_000001,MNE,COUNTRY,2001,SEX_FMLE,75.78387644,75.6441652,75.99729314
WHOSIS_000001,LKA,COUNTRY,2015,SEX_BTSX,76.44590803,76.13321032,76.92543798
WHOSIS_000001,BLR,COUNTRY,2003,SEX_FMLE,74.51765047,74.454802,74.64370698
WHOSIS_000001,MOZ,COUNTRY,2004,SEX_MLE,49.79922826,49.09548443,50.59983142
WHOSIS_000001,HTI,COUNTRY,2008,SEX_FMLE,60.0323964,59.1809509,61.02683437
WHOSIS_000001,FRA,COUNTRY,2004,SEX_FMLE,83.2720284,83.21731853,83.32673827
WHOSIS_000001,UGA,COUNTRY,2000,SEX_MLE,47.08075305,46.18796077,47.8986039
WHOSIS_000001,MAR,COUNTRY,2019,SEX_MLE,72.85219348,72.21969727,73.56512699
WHOSIS_000001,ATG,COUNTRY,2013,SEX_FMLE,77.54315251,77.2946514,77.95213454
WHOSIS_000001,PHL,COUNTRY,2021,SEX_MLE,63.397904,62.80839019,64.10410055
WHOSIS_000001,VNM,COUNTRY,2019,SEX_BTSX,73.71007094,73.16584008,74.38405488
WHOSIS_000001,DEU,COUNTRY,2021,SEX_FMLE,82.85918032,82.85917696,82.92056694
WHOSIS_000001,TUN,COUNTRY,2019,SEX_FMLE,79.98849759,79.27752718,80.73497524
WHOSIS_000001,IDN,COUNTRY,2013,SEX_MLE,68.31541032,67.64088336,69.01331344
WHOSIS_000001,SOM,COUNTRY,2004,SEX_BTSX,49.44567549,48.23817969,50.46183855
WHOSIS_000001,ESP,COUNTRY,2018,SEX_MLE,80.15362426,80.09559425,80.21165428
WHOSIS_000001,MMR,COUNTRY,2007,SEX_MLE,60.13291453,59.3647119,60.82237962
WHOSIS_000001,ZWE,COUNTRY,2019,SEX_MLE,56.89891029,56.10760696,57.86578255
WHOSIS_000001,TUR,COUNTRY,2019,SEX_BTSX,77.61966184,77.23754417,78.08057916
